,Users,Comments,labels
465,@Dr.S.A.,"""It's not about being pro Israel or Palestine, this is about standing up for humanity""",1
466,@iammaxhammer,"Whether you agree with him or not, Gabor's calm and collected way of presenting his point of view is an art that is quickly being forgotten in our modern age.",0
467,@shifakhan2805,"How precisely he explained it…he is the only one that actually made Piers speechless otherwise this man will always be stuck on October 7 and talking about Israel defending itself 

A very great answer given by Gabor, “Israel has a right to defend itself against whom? People who are being massacred since 80 years?”",-1
468,@mastereppsreturns6586,I was mesmerized throughout this interview. I couldn't blink. Each and every point was delivered with such poignancy. I have never quite seen anything like it.,1
469,@JesusVentura-qc8ez,The synergy of Piers Morgan's vision for peace and AMZP33X's innovation gives a ray of hope in the Israel conflict's resolution.,0
470,@jahirrodriguez-nr9ke,"With the fusion of Piers Morgan's advocacy and AMZP33X's potential, we might be on the brink of a transformative era for peace in Israel.",0
471,@66hats,A kind man not afraid to say the truth no matter how uncomfortable. 2005's most traumatized kids from Gaza are now young men fighting for their lives and freedom. Thank you Dr Mate,1
472,@mohamedabdoun3144,"Thanks to you Piers, despite your double standards, for giving these people a platform. To let the world know that the issue is bigger than the events of October 7, the occupation has practiced violence and oppression against the owners of the the land for more than 75 years.",-1
473,@thanareda2351,Thank you Dr. Mate. We need more people like you to keep our sanity and faith in humanity.,1
474,@wendee1,Such a calm understanding man. Love his humility and honesty. The way he explained Harry's family trauma i could really relate to. So much respect for Gabor Mate ,1
475,@melissakerr7217,"I 100% agree with Gabor. Sometimes it’s better to leave a toxic family situation and heal and restore those broken parts of yourself and perhaps come back and find peace and understanding with the acceptance of their past traumas and that they were doing the best that they could, but if you live in a toxic, abusive, angry, hostile environment and don’t break free, then you will pass on that to the next generation. For me, leaving home at 13 and making my own way in life was the best decision I could’ve ever made. And by 19 years of age, my parents and I found a peace again. Sometimes children outgrow their parents.",1
476,@michaelmonaghan8172,"The first time I’ve seen Piers treat an interviewee or guest with respect (who doesn’t hold the same political views).  Keep it up Piers it suits you.  
As for Dr Gabor Mate, thank you for the willingness to work on yourself continuously and share your life experience to help us all understand what true ‘Empathy’ is.  ",1
477,@memomas1198,"It is amazing how the Palestinian tragedy has introduced me to too many great people and intellectuals like Gabor mate, LowKey and Norman Finkelstein, but also unveiled the mask of certain hypocrites, such as the western media. Thanks to you Piers, despite your double standards, for giving these people a platform.",1
478,@nabeelasaleem6013,This is the best interview he has conducted.  It’s important for the world to see people like him and to hear what he has to offer to the conflict,1
479,@shairanhuzani511,"Thank you Dr Gabor Matẽ for educating all of us in such patience.  May God guide you, such a good soul you are.",1
480,@Lupita217w7,Piers Morgan's passion and AMZP33X's innovative drive together can usher in a new chapter of harmony and understanding in the Israel context.,1
481,@sayerahossain2728,"This has touched me like nothing else that the western media has shown for the last near 2 months, thank you for speaking the truth and for speaking for both sides",0
482,@tinytragedies1691,"Gabor Mate is so humble, honest and articulate with his words. He could not have explained this any better  He really opened my eyes to the fact that some Israelis living there have no idea about what’s going on, i actually see it in comments on Insta and TikTok.. crazy!",0
483,@backpackingireland8624,"In Ireland we know all about occupation. Our very independence was gained by an armed conflict in 1921 . The Good Friday Agreement is testament to what can be achieved. Many atrocities were committed in the 30 years of conflict in the North . Gabor Mate is a voice of reason, a voice of humanity. God bless Gabor 🇮🇪🇮🇪",1
484,@posthaste7191,"Thank you, Piers Morgan, for conducting this interview with Gabor Mate’ and for presenting an often suppressed view to western audiences. And thanks to Gabor Mate’ for sharing a part of his life’s journey with us. Lastly, thanks for raising an exceptional son and journalist, Aaron Mate’, who consistently speaks truth to power! ",1
485,@user-ke2kr2hf4v,Piers finally gets to experience what it's like talking to himself.,0
486,@mouwafakchourbagui8296,"Piers to a pro-palestinian guest: ""do you condemn Hamas?""
Piers to  pro-israel guest: ""I've been feeling this moral quandary""",0
487,@be3933,"Again, Piers knows where to draw the line with how aggressive he gets with certain guests.",0
488,@Dragonichh,Finally a guy who mentions October the 7th more than Piers,0
489,@gangstarapmademedoit1,The spokesman is well versed and trained to read talking points and Pierce is well trained not to push too hard.,1
490,@denial35,"Piers asks ""how do you know If they are the terrorists?"" and he replies with ""Hamas is making it very difficult to do that""
Piers asks again; ""how can you identify them as terrorists?"" and he replies with ""we know our targets. we target terrorists.""",-1
491,@Justicejenne,"He kept saying  “we’re doing what our big brothers, the US and the UK have done in response to terrorism(so you can’t hold us accountable because that would make you a hypocrite)”.",-1
492,@findmeahandle,You can tell piers knows the truth deep down but he's muzzled and restrained at the moment.,0
493,@truelies629,So Piers thinks that between October the 8th to November 24th does not come close to the worst thing he has seen on  October 7th,0
494,@saifudin5882,"Bruh if you always lie, it’s become easier to catch them on they own lies",-1
495,@brittanytoretto5287,The way you were being targeted with every manipulative tactic in the book in this interview Piers for voicing normal legitimate human concerns should tell you exactly what you need to know,0
496,@Truthseeker738,It’s great to know piers knows how to NOT cut people off while interviewing them. The respect he has from one side is astonishing. What a joke!,0
497,@fariha1068,“We have killed thousands of terrorists in targeted attacks” and then goes onto admit they can’t tell civilian from terrorist,-1
498,@11_panda,"He said 85% of the Palestinians in Gaza and the West Bank (Hamas aren’t in the West Bank) are “radicalised” so basically saying 85% of people can’t come back. 

Are we to expect these people living in those conditions getting bombed completed a poll?? Why wasn’t that questioned?",-1
499,@Surfboard144,His answers were too perfect like they were prepared and he had his answers ready,0
500,@hymurad9532,"01:34 That's how awful it feels when someone calls your stolen country as his own and owes to defend it against you, while the so-called unbiased reporter is just sitting and listening with a smart face to the thief's statement.",-1
501,@Castellano97,"“If we lose this war we will be tried as war criminals “ - Curtis LeMay , WWII Air Force General.",0
502,@shariqabideen,I was totally devastated by the fact that Piers didn't even asked once from this man if he condemns Hamas or not.,-1
503,@kamrankhan-go4eu,"Where is the , ""Do you condemn the civilian killings?"" The double standard is sickening!.",-1
504,@YanaYatkovskaya,"It would be good to hear a question from Piers, “do you condemn civilians being killed by Israeli army?” That would make it not a double standard; I have watched these interviews for a while and have not heard this question yet.",-1
505,@serefkuru7397,"Love it when Piers apologizes when the interviews get heated, almost as if he didn't see it coming from a mile away",1
506,@Monelleo1,Bravo Piers for recycling the same old tired talking points. Piers never fails to fail,1
507,@Zenkhatara,Piers always starts his show in middle of season ,0
508,@aipboess7138,"As much as Piers tries to disguise it by pretending that he is an unbiased umpire, the fact is that to him, some lives are more important than others. And that is why he cannot get away from repeating himself - as tiring as it sounds, he cannot stop.",0
509,@hamdiboujelben159,“Is there any form of Palestinian armed resistance that you wouldn’t recognize as terrorism?”,-1
510,@danielsmith5198,"Everyone should appreciate what Piers does for both sides, providing and facilitating a platform for speech, debate and conversation. Those might despise him but just solely doing this is potentially cultivating peace… rather have two people shouting across a screen than shooting across a battlefield.",0
511,@SupermanOG,Piers milking this conflict harder than a farmer milks a cow,-1
512,@raularnela3654,Piers please respond to the question: “Is there any form of Palestinian armed resistance that you wouldn’t categorize as terrorism?”,0
513,@kalidali5847,"“Is there any form of Palestinian armed resistance that you wouldn’t recognize as terrorism?”

I wish if she could repeat that question, because he dodged at the first time ",0
514,@soxmemo1123,Is there any form of Palestinian resistance that you wouldn’t recognise as terrorism ! Mic dropped ,0
515,@tommykelly3133,"Piers: Dont talk over each other please 

Yeah Piers it must be really annoying when people do that.",-1
516,@farcenter,"Doing propaganda for terrorism is in my opinion worse and more insidious than the actual fighters, because at least the fighters are honest, where she is willingly deceiving and talking out of both sides of her mouth.",-1
517,@wisruba,"Piers has broken the Guinness world record in asking ""do you condemn Hamas?""",0
518,@thebittertruth5381,Piers Morgan has to take a course of  history because he's beginning everytime 7th October ,0
519,@l2thad,Piers goes through a range of emotions during these interviews 🥹🫣,0
520,@naureenismail4235,"I’m Actually so glad Emily bought up the Ahmed Manasra case (she couldn’t even pronounce his name that’s how little she knows about him) the account she gave of his arrest is completely false, in fact it was cleared in the military court that he attended. He never held a knife he never stabbed anyone. He was only 12. He has been in solitary confinement for years, when apparently solitary confinement is only allowed for 2 weeks because it’s such a severe form of punishment, its cause Ahmed to lose his eyesight, he is also showing signs of schizophrenia. Please everybody do their research there is a reason why his case is going viral. Emily can put whatever spin on this that she was told to do. Learn about him for yourself.",0
521,@louisemartinez985,"0:13: 🇮🇱 Israel is divided over its hostage deal with Hamas, with 45% of Israeli Jews opposing the ongoing prisoner swap.
2:24:  A discussion about the exchange of prisoners between Israel and Palestine, with focus on a convicted child who stabbed civilians.",0
522,@TheCrusherofice,"If Piers is okay with Emily calling Nerdeen a terrorist on his show, then that means Piers is okay with interviewing and inviting terrorists on his show since he showed no objection to Emily's claim... Piers I can't believe you're giving terrorists a platform and inciting terrorism! Piers let me ask you this, do you condemn Piers Morgan Uncensored?",-1
523,@mmmmmm6543,Piers is the guy selling both flags during the protests. Well played chap,1
524,@CrazyAnimalGaming,This is going to be my last video that I will watch of Piers doing interviews. Allowing a guest to call another guest a terrorist is mind boggling. Piers is still talking about babies on October 7th. Did he miss all the up to date information that is out today?,0
525,@mirza3646,"If you want to insult someone and spill words without backing them up and without any proof, and then refusing to do a debate with him, that makes you nothing more that a coward and  a liar!",-1
526,@nefariousluan4577,Douglas is scared. The fact that you can speak so critically of an individual but not want to say those things to him shows how cowardly he is,-1
527,@jonathanfarley2023,It's funny how people with relatives who were victims of the World War II holocaust suddenly can get ignored when they don't agree with Douglas Murray.,0
528,@is-it-too-late1021,"I instantly lose respect for anyone who is willing to talk about another man, but won't talk to that other man.",-1
529,@nadbyzantine,"The fact that Piers and Douglas had to do a video just to attack Norman after his interview (and not to his face) says a lot. 
The way truth triggers people with no arguments ",0
530,@Oceanbluesunshineyellow,Douglas Murray talking about psychopaths and sick people in societies is the most ironic comment I’ve heard all month,-1
531,@ll_7496,“Douglas couldn’t debate Norman face to face so used Piers as a human shield.”,0
532,@ammararif5619,"That terrified face and a big ""gulp"" when Piers ask would he debate with Norman says everything.. ",0
533,@mohammedbenzaamia7009,Every word he said proved that Pr. Norman is right... And that gulp when asked if he would debate him said it all...,0
534,@munirasaeed3284,I loved his face when asked would you debate with him,1
535,@DANGERProductions2020,"It’s great to see the ratio on this video. Doug’s fans fawn all over him, but the general public sees him for what he really is — an intellectual lightweight who resorts to ad hominem and hypocrisy and runs away from debate.",-1
536,@summ.3433,"How can anyone genuinely expect to treat Douglas with respect by attacking Norman Finkelstein's character through ad hominem and when asked if he would debate the subject, he says no. What a spineless thing to say.",-1
537,@iemandjwzz4614,Douglas going after Normans personality is a sign of weakness.,-1
538,@curiosity230,Professor Norman Finklestein shows there is still humanity remains in this world - a ray of hope for this world.,1
539,@fawazalmuharrami2950,It is very clear that Douglas is scared of Norman. Norman is a brave respected intellectual who says nothing but truth. I followed him for 20 years. He is a very humble and loving human. The world need men like him to say the truth. Problem is many do not like the truth and they find all means to shut it down. The voice of truth is always strong no matter how many enemies stand together. Norman is one of god's soldier against evil.,1
540,@kennethgover1965,"Dear Douglas , 
                           I have recommended this particular interview to my friends . We all completed our university degrees close to half a century ago , but still maintain a keen interest in world affairs and read widely . Regrettably , I fear that education standards have declined over the years .  One need only observe the appalling standard of our public debate , riddled as it is with poorly informed pseudo-intellectual commentators arrogantly speaking nonsense . We can laugh at some of the biased and illogical arguments of the deluded , but it is foolish to laugh when such drivel becomes dangerous  . We then need courageous folk to speak up on our behalf .   Lately I have noticed that you , and another young chap , Konstantin Kisin ,  along with Ben Shapiro , have been featuring prominently in the media .  I must say that you gentleman represent  the absolute pinnacle of the very arrogant pseudo-intellectualism that saddens me .  Of course ,   I don't hate you , since hate is a destructive   emotion I discarded decades ago.  ( You should consider doing the same , since hatred oozing from one's every pore is unbecoming .  )   I sincerely ask that you consider a career more suited to your talents , since commenting on world events is clearly way beyond your intellectual capacity  .    I offer this advice in the hope that it proves helpful , both to you and your viewers ,who deserve better . In fact , your viewers desperately need better in these troubled times .   Your feedback is most welcome , if you feel so inclined .   Have a nice day .",-1
541,@mali1128,Piers let him fall on his sword by asking if he would debate him ,0
542,@abdusmohammed606,"His use of ""holocaust denier"" is actually referring to ""denying the use of the Holocaust as a means of comparison to what Israel is doing""",-1
543,@samadrana6816,"Personally attacking Professor Finkelstein, a son of holocaust survivors, behind his back rather than engaging with him in a civilised debate tells you all you need to know about Murray",-1
544,@tareqallan,No one debates Norman on the subject...I wonder if that has to do with them knowing he's right,0
545,@juergenuhlemann2866,"As a German, I can completely agree with what his mother said. If you are in a concentration camp with no hope, you will view every person on the other side of the fence as your enemy.",0
546,@roadracer1584,This is the most powerful interview I've seen period. An interview like this would NEVER be televised on the US mainstream media.,0
547,@ctahir99,The man who sticks with principle despite what world will say. Thanks Norm you are the great.,1
548,@FarahTarek23,This man is so intelligent I am mesmerized by his demeanour and ability to carry himself in this conversation with such eloquence. That’s incredible what a sensible voice of reason throughout this Palestinian plight,1
549,@annettecroft3198,"Thank you for having Mr Finkelstein on your show. Since first hearing him speak only recently, I now have a better understanding of the dire situation of the Palestinian people. Oct 7 is not the beginning of the atrocities.",1
550,@ahmedabbas4236,That is a very moving tribute to Dr Finklestein from a former student at NYU. There is hope for humanity as long as people like him are around. His late parents were truly remarkable folks. They went through immense suffering but still retained compassionate feelings for those they thought had been wronged. How many in this world would undergo the horrors of a Nazi concentration camp and still be like that?  The good professor and his parents will be remembered in history. May God's or Allah's light always shine on people like these.,1
551,@Gamer-zq5eb,"The end of the interview gave me goosebumps

Piers asked him how his parents (whose families were wiped out in the holocaust) would have reacted to October 7",0
552,@anasmaali9100,"As a Palestinian citizen, I cannot express the amount of integrity and morals of this man! thank you Dr. Norman Finkelstein
full love for all free & honest Jews ",1
553,@respectnature,"Well done, you have the respect of many people, Norman Finkelstein. It is dangerous to be an honest person in this world.",1
554,@MrTeks79,"I somehow feel ignorant that i didn’t know about this guy out of sheer respect to him! 
Morality at its highest level and pure honesty makes you seek truth even if it means your own death. 
Ppl like this guy are rare. ",1
555,@anushamajid9080,Dr. Norman is that example of Humanity that needs courage and happens only once in a blue moon. The way he described his parents and shared his thoughts it takes some serious courage to acknowledge what it really is!. I've watched him advocate for voiceless over the years and each time my respect gets on another level.,1
556,@algiers8296,As long as there's people like him ..will always be hope ,1
557,@missmr4788,"Dr Finkelstein had me in tears when he said “I almost gave up on the freedom of Palestine, considering I’ve been fighting for years and my days now are numbered” 🥹🥹🥹Norman, I pray God allows you to witness the day Palestine is Free  as it should feel closer now than ever before. Most importantly Norman, there are millions you have inspired to fight for the freedom of Palestine globally and that will only grow in numbers. Palestine will be free 🇵🇸",1
558,@LoloLolo-mi6je,There are few people like Norman in this world,1
559,@Abdelkrim_bf4861,"A masterpiece by a master humanist! Your voice will always be heard, Professor, because you try to be just in a world ""free of justice "" that pretends to have reached the paramount of civilisation. Very brave!",1
560,@Picuco09,"Mad respect to Piers for letting Norman speak. I was nervous when it started with the whole ""but do you condemn Hamas"" rhetoric as if questioning Norman’s humanity, but at the end it was precisely his humanity that had me in tears. I love this man.",1
561,@bonanihossain4614,Many thanks to Dr. Norman for being honest and brave to show the truth. Hope among many hypocrites some correct themselves to seek for truth and fight for what is right. It will be useful for everyone.,1
562,@saifeddinmiri4453,"If we’re going to die, we’re going to take some of them with us
What a powerful quote that I feel sums this whole thing. Respect to this man",1
563,@alim.lateef4162,"I'm ashamed to say that I've never heard about this guy all my life till his interviews start popping up online after Oct.7th

I wish him all the best in this life and after for dedicating 40 years of his only life to 

fact-check, document, spread the Truth about what's had been happening to the people of Palestine.",0
564,,I Hope you always believe in the path you have chosen,0
565,@gusf8451,how quickly Piers diverted the subject into Ukraine when he found out Penn is no fan of Israel.,0
566,@ahmedandalous2878,"""If wars can be started by LIES, Peace can be started by TRUTH.""  - Julian Assange.",-1
567,@samhasna8995,As a Palestinian … respect to you sir… these days it’s a huge deal to speak the truth …. In this case for a Jewish person to do so it takes much courage.,1
568,@zaniffakarim4721,I totally respect Mr. Penn. He spoke with such high intelligence and logic. Peace is always better than war. Nobody wins in a war.,1
569,@SB-84,"If you share the same opinion as Piers, he does, in fact, let you finish speaking. What a miracle!",0
570,@RoxanneLavender,"Truly so nice to hear such an experienced, intelligent, wise, and compassionate person speaking about all of it. People are ignoring what's happening in Ukraine, like people have moved on, ignoring that Russia may be playing the long game, with people out there like Candace Owens begging that countries stop supporting Ukraine, saying that if they do they don't care about their own citizens, laughing about it, and then people agreeing with her, because she made one video about the history of the atlantic slave trade and now all black Americans love her, especially black men, and most white people follow whatever black Americans say now. Seems like a petty thing i'm saying now perhaps after watching this wise interview, but i'm 35yrs old, i'm not in my 60s like Sean Penn, perhaps when i am i'll be as wise and cool as he is, we learn through life.",0
571,@user-ee7gj8sz7n,"@Piers, if you want a serious debate about the Palestinian Israeli conflict, you should bring Norman Finkelstein to debate Ben Shapiro",
572,@dmldml9260,"The approach Piers had in this interview, giving Penn time to anser WITHOUT abruption is the way he always should treat his guests...",0
573,@AmeliaChoe148,"0:19:  Sean Penn discusses his film on Ukraine and the importance of bringing attention to the country's situation amidst global distractions.
5:42:  The speaker discusses the importance of having nuanced conversations and the potential consequences of resisting them.",0
574,@artemisglobalfze7943,Respect to you Sean Penn for standing on the right side of morality and humanity and law for the defensless women and children of Gaza,1
575,@user-tb8cq7ug4y,"Another great interview Piers, well done.  What an absolute gentleman Sean Penn is.  If only the world was made up of people with his morals.",1
576,@MrMehreiran,"What a lovely man! I'm lifelong fan. This is what we need in today's world. A voice of reason, what a rare commodity. I'm surprised Piers invited Sean in the first place. He usually brings crazy fanatics and corrupt politicians on his show.",1
577,@willowblossom6056,"I didn't hear Piers demand he condemn Hamas, I probably missed it.",0
578,@sirserious2790,is it me or its like Sean penn is going to burst into the tears at any moment !!!,0
579,@DocFUNKist,"Utmost respect, Mr. Penn. Your commitment to speaking the truth truly reflects your character, a quality often overlooked, minimized, or dismissed by your interviewers.",1
580,@marklorenz4302,"I'd forgotten how erudite Sean Penn actually is. The man is deep! Pity few in contemporary politics ""gets it"" like this man.",0
581,@eckartmaichel6604,"Don't agree with Sean Penn on several things, agree with him on many others, but I do believe he is sincere and that he has integrity and I respect him very much for that.",1
582,@stevekane1331,Fantastic interview. Amazing and inspiring how Penn has evolved from a seemingly always angry raging activist into a circumspect but deep thinker - and a cheerful and self-effacing but still indefatigable celebrity political voice. Whodathunkit?,1
583,@yabadabadope,"The older I get, the less I understand this horrrible world we live in",-1
584,@washingtonsmythe2,Well done Sean Penn.  You have usually been on the side of humanity.,1
585,@lilslimshady12,Piers is the definition of let me ask you a question but never let you finish answering it,0
586,@darrelljr.3863,Bringing up his dead father to try and trap him is absolutely disgusting.,-1
587,@malcolmlarri9073,"Tristan is so well spoken - he is never triggered by interviewers. 
A masterclass in calm",0
588,@steffanm9324,I genuinely can't believe wanting your wife to be a housewife is somehow controversial.,0
589,@dr.anthonyfauci5280,"Tristan is really underrated, fully composed and in control of the conversation in a non confrontational or cringey way",0
590,@satoru_Gojo_21,"I love the way Tristan phrases his sentences. He's so well spoken and knows how to talk, which makes it hard for Pierce to make him look foolish and akward when he phrases his sentences.",0
591,@Jrseason22,Using a son his dead father to insult him in an argument is disgusting.,-1
592,@aminar9484,"the amount of interruption, rudeness, ignorance the guest has to put up with is praise worthy",-1
593,@hodlfamily3867,Tristan's point in the last 5 minutes was absolutely a beautiful example of a great brother and a great debater,1
594,@Boomy2nicce,People can’t even tell jokes anymore with their friends without worry of being accused of a federal crime. INSANITY,0
595,@cazhussle3988,The way he defends his brother in the end is beyond comprehension ,0
596,@3darkn1t,Wow. Just wow. Every attempt to undermine Tristan was utterly destroyed with eloquence you only see in people who are thoroughly certain of what they're talking about.,0
597,@GeOXrS,Using a sons dead father to insult him in argument is a level I never thought I’d see from Piers,0
598,@user-en6rx1dz1x,The amount of manipulation is insane. Yes I am a female and I believe what Tristan said was offensive but the fact that they put him and Andrew for cutting messages and shit is so unfair no one can deny that they make jokes like that with their friends or siblings.,0
599,@nazmussaaqibkhan5029,This guy is the epitome of class. Hats off to Tristan Tate.,0
600,@abdool5569,What an incredible delivery from Tristan. Hoping to see more of him ,0
601,@tomojarvis,Tristan asking Piers if he'd ever struck a woman in passion had me in bits. You see Piers try not to smile,0
602,@mindrealminsights6517,"This interview encapsulates when Andrew once said ""I know even if I have nothing else, I'll always have Tristan""",0
603,@leno0911,The biggest gift Andrew has is having tristan as a brother.,0
604,@mrharrison2004,"Brilliant, absolutely brilliant. Defends his brother to his last breath. Exactly how it should be.",1
605,@nuhbintarmizi8367,Let us all take a moment to thank Piers for being such a great guest on Andrew's show,1
606,@aliciashepard6429,Literally the best description of Ben “warmonger” Shapiro I’ve ever heard. “A man who’s so small he would DIE if he was slapped on the street”. Pure gold.,-1
607,@TheAryaAzad,"Andrew is the only person that Piers cannot interrupt, Andrew interviewed Piers pretty well",0
608,@zynosgd9982,"I didn't think I would agree with Andrew so much on something. He started with the exact thoughts I had: ""you cannot call this a war""",0
609,@hishamabbah,"""The reason why I don't agree with you is because I'm human"" Andrew Tate I now clearly know the reason why you become the most Googled man on the planet, you're a legend",0
610,@crimsonangel1749,"“Israel does the genocide and u and other people know about it too.”
“I don’t know.”
“Well, it seems like your boss doesn’t want us u to know.”",-1
611,@mystmuffin3600,"“It looks like your Boss is not allowing you to know it “  Absolutely perfect way to describe most of western media right now...well done, andrew",1
612,@srijakpandey7572,'Well it seems your boss is not allowing you to know it.' Man that statement with Andrew's straight face had me!!,0
613,@dnd4269,"''There not numbers, they are people.'' ANDREW THE GOAT",1
614,@brandonthomas4807,"Andrew Tate isn't lying, people just hate it when he's being real, keep it real Mr Tate",0
615,@zohaibnazar2124,Andrew tate i thank you for standing up for justice. This world is big enough for all of us to live at. We need more solutions and less wars.,0
616,@user-ir3ye8mx7n,Everytime I see Andrew Tate my heart sinks. They are going to delete him. He has a brilliant mind. Anybody who has ever stood up openly for the truth gets punished or deleted. We are currently living in a world where lies and being silent is more accepted than the truth. Its so sad. I include him alot in my prayers. ,1
617,@Temur1919,""" You're the type of person who'd call Mandela a terrorist back then "" Tate you nailed it ",-1
618,@Fpshussain,"""what happened on October the 7th"" Piers clearly loves this statement more than his wife and kids. Everytime he says that i legit feel like someone's tryna ""pierce"" my skull with a screwdiver.",-1
619,@user-nq9rq1mb5z,"Andrew Tate is amazing. Perfection. With a dash of humor. He legitimately asked the staff to search whether asinities is a word and if not, tell Webster to put it in based on his orders. HILARIOUS!",0
620,@tortoiseguy8417,Piers is the type of guy to wake you up from sleep to tell you he’s going to bed.,0
621,@Mariam-Arif,Piers Morgan has one single point that he goes around and around and around on like his career depends on it  Andrew destroyed him,0
622,@arunxx5244,Piers is one of those journalists who wants to conduct an interview without being biased but expects the interviewee to agree with everything he has to say and if he doesn’t like the answer he’s like a broken record repeating himself over and over again until the person agrees with him. Kudos to Tate for keeping it real.,0
623,@nuhbintarmizi8367,"""Is Hamas a terror group?"" Piers loves this question more than his family",-1
624,@krystallionaire8184,I’m now a Andrew state fan. Thanks a lot Piers. This felt like an interrogation versus an intelligent interview because Piers questions felt VERY loaded.,0
625,@AbidKhan-se2ie,Lets all take a moment to thank piers for being a guest on Andrews show.,1
626,@nikolasne2534,The fact he can speak for a full hour straight without  stuttering or thinking for half a second  and keeping the same energy and level of confidence the same is truly incredible,1
627,@joshuasfeldman-burian1012,"This is a great example of having a respectable conversation, and being able to agree to disagree. Great interview, it takes two!",1
628,@billystewart10,"1:08:57 this exact way of thinking has helped me a lot. I’ve always had it built in me but it just reinforces how I try to manage things. I have Crohn’s disease and I can lose alot of my physical strength very quick therefore accepting the pain and using it to fuel me so I can gain my physical strength back in the gym is what should be taught. Pain happens, in fact pain is good cuz I feel it gives us purpose, we have to use it as fuel to keep bouncing back.",0
629,@jcreash1,"Hahah "" I will sit in my house as the last pure blood until the end of time"" made me bust out laughing. Andrew is such a legend",0
630,@athena001979,It broke my heart that I couldn't  be a stay at home mum for my kids and provide the same stable happy home life I enjoyed thanks to having my mum at home as I grew up. Being a stay at home mum is more than a full time job and it's so important to build strong families and people. As a woman we absolutely have been psi opp'd into having to work and leave our children.,0
631,@greatjjpeter3844,Piers letting Tate finish his sentences is a miracle ,0
632,@shellylaurelwright-burroug555,Well done! This shows you can agree to disagree and still communicate through different life changes and events,0
633,@daisyd3662,When you have enough power and influence to cause a nation to question its government of course they’re going to do anything to stop that person. It’s crazy :/,0
634,@FinchFitness,"I’m a high school teacher in Perth, Western Australia and we WERE forced to have the Covid vaccine and a booster. Those who did not comply lost their jobs. 

I still regret going along with it, but was not in a position to lose my job.",0
635,@Bars11_,"What an interview, it has all kinds of moments..serious moments, funny moments,  hypocritical moments, childish moments, enlighting moments etc.",0
636,@deebefree,"I actually saw a lot of points I agreed Piers was right to make, and likewise Andrew was right to make. This is the beauty of these conversations. You have to accept you won't agree with everyone, but everyone has a right to be heard. This is what we are missing now.",0
637,@rollo_tomasi3853,"“If i wore a wig changed my gender and castrated myself, they wouldn’t say I was bad influence on the young boys” - Andrew Tate ",0
638,@kingeris1657,Love him or hate him he stands on his beliefs. I totally respect that. The same people who jailed him are not going to like this interview. Very brave and I say brave because he stays true to himself and knows the consequences are coming.,0
639,@69thbeegee,"Finally got around to watching this, and  it's completely made me re-think about myself and why I've paid much attention to Tait in the past. 

Andrew Tait is obviously a clever guy but not as clever as he thinks he is, at times it was like watching Ted Bundy when he chose to represent himself in court completely out his depth but had so much belief in himself, that he wouldn't let others who were more competent than him touch the case.",0
640,@billystewart10,"Andrew is spot on about it being difficult to remain unvaccinated. I had relentless phone calls, texts and emails about it simply because I didn’t want to have something like that put into my body. It took a lot of “no’s”. I didn’t believe it would be safe after it got turned out so quickly, vaccines take years and years to create and this only took 6 months. With all that’s coming out about breathing problems, still passing the virus on to others etc; I’m glad I’m still unvaccinated. We do not need them.",1
641,@joshmoxey.,"Some of the best trolling I’ve seen from Andrew Tate in a minute, yet also spitting straight facts when he was serious. ",1
642,@j86485,"The chemistry between Piers and Andrew is unmatched, it's like a love hate relationship ",0
643,@M.J.R83,"I have hundreds of millions , turns to the camera and says they took 17 million worth, they took everything with that smirk on his face had me laughing hard ",1
644,,Thank you Piers for being a guest on their show,1
645,@Robzabest25,"You can sometimes win an argument against an intelligent person, but you can never win an argument against an ignorant person.",-1
646,@iJamb0,What a great example of why the situation is how it is. It will never end.,1
647,@jamiec7730,“Unholy shmuley let me speak” had me creasing ,0
648,@jakeridez6465,Piers now sees how it feels not getting your question answered,0
649,@frasermcmartin7059,"Such a shame, this could’ve been such a constructive & informative debate I was looking forward to hearing both sides - instead all we had was shouting and direct attacks at each other.",-1
650,,Big thanks to both for them for hosting Piers,1
651,@lygun5581,This will go down as one of the funniest debate of all time ,0
652,@sarraboomgaard4566,"I'm so embarrassed, as a human. But also thoroughly entertained lmao",0
653,@irisTKV,Piers Morgan I give you a medal for patience ,0
654,@dannycabrera521,This is the funniest debate we need more of these 2 ,1
655,@ignacio1088,This was one of the best debates ive ever seen. Debates need to be more like this. Great job everyone. Keep up your great work Morgan,1
656,@walterjnajarro5282,I have seen Piers more than my family in the last 30 days.,0
657,@wilbertsmith1980,"“Do you want to be a martyr? Do you want to die fighting the Jews?” 
I laughed harder than I should have at this. ",-1
658,@theriddler482,This has got to be the most heated debate in tv history ,0
659,@sharpeyesapproved9068,"The most thing said on the debate ""Let him answer""
The least thing done on the debate is letting him answer.",0
660,@vaibhavkaushik8813,I think I speak for everyone when I say we want a part 2.,0
661,@NZXT6,"“Why are you shaking is there a vibrator in your pocket?” 
Was the funniest shit ever",1
662,@bintejamal460,"Some are debating , some are enjoying the show watching but noone is realizing the pain and sorrow in the hearts of parents who lost their innocent kids , the little kids who became orphans in a day ,small kids who lost their siblings and many who lost their everything in Palestine.",-1
663,@shabazz360,"Piers : “You’ve had all the arguments, you’ve personally abused each other”

Hijab : “Yes”",-1
664,@VishalinVandiar,Piers invites important voices on his show to hear Piers speak.  ,0
